HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because nonAbstractMethodDeclaration is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because nonAbstractMethodDeclarationWithThrows is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because constructorDeclaration is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because constructorDeclarationWithThrows is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because statement is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because statementPrecededByComment is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because multiLineStatement is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addImport is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addStaticImport is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addStaticWildcardImport is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because emptyImports is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because emptyStaticImports is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addImportFromSubpackage is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because ifControlFlow is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because doWhileControlFlow is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because tryCatchFinallyControlFlow is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedType is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedMember is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithSingleAttribute is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithSingleValueAttribute is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithAttributes is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because parameterizedType is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressType is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressDeeperType is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressWildcardType is more interested in members of the type: JavaWriter
84fd31ce9b407dbd1aaea1137dbffbb3065e9b87,Wed Jul 24 08:22:45 CEST 2013,javapoet-clone1,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressSimpleNameCollisionInSamePackage is more interested in members of the type: JavaWriter
